
withdraw,100.0,food,2022-01-20 17:55:21.667866
withdraw,10.0,food 2,2022-01-20 18:01:34.923636
withdraw,10.0,food 2,2022-01-20 19:11:01.827021
withdraw,100.0,,2022-01-21 12:18:32.133106
withdraw,1000.0,,2022-01-21 12:18:39.053212
withdraw,20.0,food,2022-01-21 12:21:49.644750
withdraw,100.0,food in vacation,2022-01-21 12:23:18.044324
withdraw,10.0,---,2022-01-21 12:46:07.075192
withdraw,10.0,pizza,2022-01-21 12:49:57.273079
withdraw,5.0,hotdog,2022-01-21 12:50:16.490070
withdraw,100.0,KFC,2022-01-21 14:35:09.657776
withdraw,100.0,KFC,2022-01-21 18:14:09.447490
withdraw,100.0,KKKFFCC,2022-01-21 18:14:23.920210
withdraw,23.0,found,2022-01-25 11:01:04.301099
withdraw,23.0,23,2022-01-25 11:01:19.972782
withdraw,100.0,wqe,2022-01-27 21:58:59.129620
withdraw,100.0,food-1,2022-01-27 22:26:05.523421
withdraw,100.0,MD,2022-01-30 23:19:20.252949
withdraw,400.0,shashlyki,2022-02-08 21:44:38.890363
